target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed,molecule,fingerprints,MolWt,LogP,NumHDonors,NumHAcceptors
SARS coronavirus 3C-like proteinase,CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,intermediate,281.271,1.89262,0.0,5.0,5.142667503568732,<rdkit.Chem.rdchem.Mol object at 0x000001AD043537D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066154D0>,281.271,1.89262,0.0,5.0
SARS coronavirus 3C-like proteinase,CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,intermediate,415.589,3.813200000000002,0.0,2.0,5.026872146400302,<rdkit.Chem.rdchem.Mol object at 0x000001AD043538B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066153F0>,415.589,3.813200000000002,0.0,2.0
SARS coronavirus 3C-like proteinase,CHEMBL185698,O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,inactive,421.19000000000005,2.6605000000000008,0.0,4.0,4.8696662315049934,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353920>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066155B0>,421.19000000000005,2.6605000000000008,0.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL426082,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,inactive,293.34700000000004,3.6308000000000016,0.0,3.0,4.882397308309916,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353990>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615620>,293.34700000000004,3.6308000000000016,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],intermediate,338.3440000000001,3.5390000000000024,0.0,5.0,5.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353A00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615690>,338.3440000000001,3.5390000000000024,0.0,5.0
SARS coronavirus 3C-like proteinase,CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,active,372.24300000000005,4.393300000000003,0.0,3.0,6.008773924307505,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353A70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615700>,372.24300000000005,4.393300000000003,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,intermediate,311.33700000000005,3.7699000000000016,0.0,3.0,5.31695296176115,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353AE0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615770>,311.33700000000005,3.7699000000000016,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,active,419.24300000000005,4.235400000000002,0.0,3.0,6.022276394711152,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353B50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066157E0>,419.24300000000005,4.235400000000002,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL365469,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,inactive,327.7920000000001,4.284200000000002,0.0,3.0,4.950781977329818,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353BC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615850>,327.7920000000001,4.284200000000002,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL188983,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,inactive,445.28100000000006,4.748600000000002,0.0,3.0,4.628932137728263,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353C30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066158C0>,445.28100000000006,4.748600000000002,0.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL191575,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,inactive,522.7510000000001,4.987900000000002,1.0,4.0,4.900664722314042,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353CA0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615930>,522.7510000000001,4.987900000000002,1.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL370923,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,inactive,480.327,3.708300000000003,0.0,4.0,4.756961951313706,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353D10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066159A0>,480.327,3.708300000000003,0.0,4.0
SARS coronavirus 3C-like proteinase,CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,inactive,580.6820000000004,2.685820000000001,3.0,8.0,4.346787486224656,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353D80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615A10>,580.6820000000004,2.6858200000000014,3.0,8.0
SARS coronavirus 3C-like proteinase,CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,558.6760000000003,2.7994200000000014,3.0,8.0,4.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353DF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615A80>,558.6760000000003,2.7994200000000014,3.0,8.0
SARS coronavirus 3C-like proteinase,CHEMBL209287,CCCCN1C(=O)C(=O)c2cc(I)ccc21,inactive,329.137,2.6206000000000014,0.0,2.0,4.180456064458132,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353E60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615AF0>,329.137,2.6206000000000014,0.0,2.0
SARS coronavirus 3C-like proteinase,CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.343,2.668200000000001,1.0,3.0,6.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353ED0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615B60>,330.34299999999996,2.6682000000000006,1.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.283,1.515,1.0,3.0,4.903089986991944,<rdkit.Chem.rdchem.Mol object at 0x000001AD04353F40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615BD0>,280.28299999999996,1.5150000000000001,1.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,246.266,1.1148999999999998,1.0,3.0,4.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615C40>,246.26599999999996,1.1148999999999998,1.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,232.239,0.7248,1.0,3.0,4.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001AD043640B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615CB0>,232.23899999999998,0.7248,1.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.185,-0.0554000000000002,1.0,3.0,4.1487416512809245,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615D20>,204.18499999999997,-0.05540000000000028,1.0,3.0
SARS coronavirus 3C-like proteinase,CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,intermediate,413.21400000000006,4.173900000000002,0.0,2.0,5.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615D90>,413.21400000000006,4.173900000000002,0.0,2.0
SARS coronavirus 3C-like proteinase,CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,inactive,363.15400000000005,3.020700000000001,0.0,2.0,4.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615E00>,363.15400000000005,3.0207000000000015,0.0,2.0
SARS coronavirus 3C-like proteinase,CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,intermediate,473.4100000000001,6.304700000000004,1.0,6.0,5.5200002474083645,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615E70>,473.4100000000001,6.304700000000004,1.0,6.0
SARS coronavirus 3C-like proteinase,CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,intermediate,473.4100000000001,6.304700000000004,1.0,6.0,5.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001AD043642E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615EE0>,473.4100000000001,6.304700000000004,1.0,6.0
SARS coronavirus 3C-like proteinase,CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,3.520000002933981,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615F50>,437.4370000000002,3.3684800000000017,2.0,9.0
SARS coronavirus 3C-like proteinase,CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,3.5228787452803374,<rdkit.Chem.rdchem.Mol object at 0x000001AD043643C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06615FC0>,437.4370000000002,3.3684800000000017,2.0,9.0
SARS coronavirus 3C-like proteinase,CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8745,2.0,9.0,3.6000000054478725,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06616030>,377.3820000000001,1.8744999999999998,2.0,9.0
SARS coronavirus 3C-like proteinase,CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8745,2.0,9.0,3.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001AD043644A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066160A0>,377.3820000000001,1.8744999999999998,2.0,9.0
SARS coronavirus 3C-like proteinase,CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,3.690000009501577,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06616110>,403.38200000000006,3.223200000000001,2.0,7.0
SARS coronavirus 3C-like proteinase,CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,3.6989700043360183,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06616180>,403.38200000000006,3.223200000000001,2.0,7.0
SARS coronavirus 3C-like proteinase,CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001AD043645F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066161F0>,401.8750000000001,4.667120000000002,2.0,6.0
SARS coronavirus 3C-like proteinase,CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06616260>,401.8750000000001,4.667120000000002,2.0,6.0
SARS coronavirus 3C-like proteinase,CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.5310000000002,4.441480000000004,2.0,8.0,4.219999989963101,<rdkit.Chem.rdchem.Mol object at 0x000001AD043646D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD066162D0>,462.53100000000023,4.441480000000004,2.0,8.0
SARS coronavirus 3C-like proteinase,CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.5310000000002,4.441480000000004,2.0,8.0,4.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000001AD04364740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001AD06616340>,462.53100000000023,4.441480000000004,2.0,8.0
